Created at 1/26/2008 3:55:54 PM from C:\Documents and Settings\Brandon\My Documents\aClimax\liBH4\orthorhombic\CPMD.ACLIMAX
Created using a-CLIMAX v.5.5.0 LE (Workshop Edition)
CM-1,0-1,0-2,0-3,0-4,W1,W2,W3,W4,Total,Experimental,IR,Raman,Raman Depolarised
85,1.28571700595295E-25,0,0,0,0,0,0,0,1.28571700595295E-25,0,0,0,0
86,3.82564714747319E-24,0,0,0,0,0,0,0,3.82564714747319E-24,0,0,0,0
87,1.02547278908804E-22,0,0,0,0,0,0,0,1.02547278908804E-22,0,0,0,0
88,2.47629897352954E-21,0,0,0,0,0,0,0,2.47629897352954E-21,0,0,0,0
89,5.38693482781512E-20,0,0,0,0,0,0,0,5.38693482781512E-20,0,0,0,0
90,1.05569890758437E-18,0,0,0,0,0,0,0,1.05569890758437E-18,0,0,0,0
91,1.86379494672674E-17,0,0,0,0,0,0,0,1.86379494672674E-17,0,0,0,0
92,2.9642572766425E-16,0,0,0,0,0,0,0,2.9642572766425E-16,0,0,0,0
93,4.24710860180818E-15,0,0,0,0,0,0,0,4.24710860180818E-15,0,0,0,0
94,5.48189288284179E-14,0,0,0,0,0,0,0,5.48189288284179E-14,0,0,0,0
95,6.37422560903082E-13,0,0,0,0,0,0,0,6.37422560903082E-13,0,0,0,0
96,6.67704070031861E-12,0,0,0,0,0,0,0,6.67704070031861E-12,0,0,0,0
97,6.3008671548101E-11,0,0,0,0,0,0,0,6.3008671548101E-11,0,0,0,0
98,5.35644105268694E-10,0,0,0,0,0,0,0,5.35644105268694E-10,0,0,0,0
99,4.10215478652049E-09,0,0,0,0,0,0,0,4.10215478652049E-09,0,0,0,0
100,2.83013703302583E-08,0,0,0,0,0,0,0,2.83013703302583E-08,0,0,0,0
101,1.75898684660328E-07,0,0,0,0,0,0,0,1.75898684660328E-07,0,0,0,0
102,9.84866638930146E-07,0,0,0,0,0,0,0,9.84866638930146E-07,0,0,0,0
103,4.96766119276123E-06,0,0,0,0,0,0,0,4.96766119276123E-06,0,0,0,0
104,2.25728407054642E-05,0,0,0,0,0,0,0,2.25728407054642E-05,0,0,0,0
105,9.24017448983167E-05,0,0,0,0,0,0,0,9.24017448983167E-05,0,0,0,0
106,3.40748407691048E-04,0,0,0,0,0,0,0,3.40748407691048E-04,0,0,0,0
107,1.13200202751634E-03,0,0,0,0,0,0,0,1.13200202751634E-03,0,0,0,0
108,3.38781964052581E-03,0,0,0,0,0,0,0,3.38781964052581E-03,0,0,0,0
109,9.13383297413448E-03,0,0,0,0,0,0,0,9.13383297413448E-03,0,0,0,0
110,2.21842912440769E-02,0,0,0,0,0,0,0,2.21842912440769E-02,0,0,0,0
111,4.85397754502239E-02,0,0,0,0,0,0,0,4.85397754502239E-02,0,0,0,0
112,9.56774722800826E-02,0,0,0,0,0,0,0,9.56774722800826E-02,0,0,0,0
113,0.169895312600199,0,0,0,0,0,0,0,0.169895312600199,0,0,0,0
114,0.271777218057953,0,0,0,1.3254508541931E-05,0,0,0,0.271790472566495,0,0,0,0
115,0.391656451434909,0,0,0,3.97639356182052E-05,0,0,0,0.391696215370527,0,0,0,0
116,0.508464257227739,0,0,0,7.95291012253013E-05,0,0,0,0.508543786328964,0,0,0,0
117,0.594685049221073,0,0,0,1.32551235387072E-04,0,0,0,0.59481760045646,0,0,0,0
118,0.626637724659892,0,0,0,1.98831978189705E-04,0,0,0,0.626836556638081,0,0,0,0
119,0.59506648954262,0,0,0,2.78373379828346E-04,0,0,0,0.595344862922449,0,0,0,0
120,0.509760713255563,0,0,0,3.71177900665368E-04,0,0,0,0.510131891156228,0,0,0,0
121,0.395387339577952,0,0,0,4.77248411300309E-04,0,0,0,0.395864587989253,0,0,0,0
122,0.281444748888483,0,0,0,5.96588192651465E-04,0,0,0,0.282041337081134,0,0,0,0
123,0.192550041652059,0,0,0,7.29200936049146E-04,0,0,0,0.193279242588108,0,0,0,0
124,0.14370403384879,0,0,0,8.750907433406E-04,0,0,0,0.144579124592131,0,0,0,0
125,0.140647007304126,0,0,0,1.02100761846467E-03,0,0,0,0.14166801492259,0,0,0,0
126,0.181991490691703,0,0,0,1.16695607467151E-03,0,0,0,0.183158446766375,0,0,0,0
127,0.259969553049791,0,0,0,1.32575395713273E-03,0,0,0,0.261295307006924,0,0,0,0
128,0.359570549559203,0,0,0,1.49740618661271E-03,0,0,0,0.361067955745816,0,0,0,0
129,0.458690651820035,0,0,0,1.6819180906324E-03,0,0,0,0.460372569910668,0,0,0,0
130,0.532095178473656,0,0,0,1.87929540362112E-03,0,0,0,0.533974473877277,0,0,0,0
131,0.55916202922856,0,0,0,2.08954426708007E-03,0,0,0,0.56125157349564,0,0,0,0
132,0.531777002908822,0,0,0,2.31267122975753E-03,0,0,0,0.534089674138579,0,0,0,0
133,0.457563617472978,0,0,0,2.54868324783591E-03,0,0,0,0.460112300720814,0,0,0,0
134,0.356183714941132,0,0,0,2.79758768513044E-03,0,0,0,0.358981302626262,0,0,0,0
135,0.250835897123523,0,0,0,3.05939231329971E-03,0,0,0,0.253895289436822,0,0,0,0
136,0.159807235479837,0,0,0,3.33410531206789E-03,0,0,0,0.163141340791905,0,0,0,0
137,9.21072834015513E-02,0,0,0,3.62173526945879E-03,0,0,0,9.57290186710101E-02,0,0,0,0
138,0.048026827790519,0,0,0,3.90947785101785E-03,0,0,0,5.19363056415368E-02,0,0,0,0
139,2.26560868976335E-02,0,0,0,4.19734205652673E-03,0,0,0,2.68534289541602E-02,0,0,0,0
140,9.67386464507323E-03,0,0,0,4.48533688923718E-03,0,0,0,1.41592015343104E-02,0,0,0,0
141,3.75786306960469E-03,0,0,0,4.77347135612881E-03,0,0,0,8.5313344257335E-03,0,0,0,0
142,1.40136252643484E-03,0,0,0,5.06175446816697E-03,0,0,0,6.46311699460181E-03,0,0,0,0
143,7.54065133215005E-04,0,0,0,5.35019524056071E-03,0,0,0,6.10426037377572E-03,0,0,0,0
144,1.20903521461576E-03,0,0,0,5.63880269302087E-03,0,0,0,6.84783790763663E-03,0,0,0,0
145,3.2024920898349E-03,0,0,0,5.92758585001829E-03,0,0,0,9.13007793985319E-03,0,0,0,0
146,8.41022657200179E-03,0,0,0,6.2165537410422E-03,0,0,0,0.014626780313044,0,0,0,0
147,2.02897630062722E-02,0,0,0,6.50571540085864E-03,0,0,0,2.67954784071308E-02,0,0,0,0
