Created at 1/26/2008 10:57:17 AM from C:\Documents and Settings\Brandon\My Documents\aClimax\liBH4\Li2B12H12\VASP.ACLIMAX
Created using a-CLIMAX v.5.5.0 LE (Workshop Edition)
CM-1,0-1,0-2,0-3,0-4,W1,W2,W3,W4,Total,Experimental,IR,Raman,Raman Depolarised
20,1.84033041789269,2.45553979939034E-08,4.95620970555897E-32,3.05523098967817E-69,6.63026590734139E-04,0,0,0,1.84099346903883,0,0,0,0
21,1.97275332004431,1.63117058815419E-07,2.75424820903944E-30,1.10118971499878E-66,8.70151233678864E-04,0,0,0,1.97362363439504,0,0,0,0
22,2.35511834393036,9.41752623706018E-07,1.34167760080282E-28,3.50632762257032E-64,1.12534528891683E-03,0,0,0,2.3562446309719,0,0,0,0
23,2.82605420630446,4.72562672873179E-06,5.72908089671325E-27,9.86313756063546E-62,1.42861530674349E-03,0,0,0,2.82748754723794,0,0,0,0
24,3.13744843849806,2.06094915749609E-05,2.14443769071656E-25,2.45103739952427E-59,1.76197236010062E-03,0,0,0,3.13923102034973,0,0,0,0
25,3.09814268019199,7.81197539232059E-05,7.03612588055708E-24,5.38092620960144E-57,2.12542501941753E-03,0,0,0,3.10034622496533,0,0,0,0
26,2.68079545730903,2.57360154017314E-04,2.02369687591264E-22,1.04360556305963E-54,2.51898263550059E-03,0,0,0,2.68357180009855,0,0,0,0
27,2.02211561793246,7.36905052983868E-04,5.10210055401605E-21,1.78808428018063E-52,2.94265533977167E-03,0,0,0,2.02579517832522,0,0,0,0
28,1.32726300688938,1.8339150558963E-03,1.12757193461188E-19,2.70652370611182E-50,3.39645404452667E-03,0,0,0,1.3324933759898,0,0,0,0
29,0.757587074085989,3.9670212510936E-03,2.18439509966212E-18,3.61916127427697E-48,0.003880390443214,0,0,0,0.765434485780296,0,0,0,0
30,0.375919937744766,7.45969138956613E-03,3.70945256052848E-17,4.275395420372E-46,4.39447701073304E-03,2.40077017401965E-07,0,0,0.387774346222083,0,0,0,0
31,0.162122551104705,1.21980484612874E-02,5.52179324457949E-16,4.46186976532418E-44,4.92367884547855E-03,7.20237386062892E-07,0,0,0.179244998648858,0,0,0,0
32,6.07541381645297E-02,1.73601419621819E-02,7.20513550975676E-15,4.11367277508034E-42,5.45300732303081E-03,1.44049377386052E-06,0,0,8.35687279435234E-02,0,0,0,0
33,1.97780841955056E-02,0.021554066162721,8.2413025570822E-14,3.35054029865602E-40,5.98247609568723E-03,2.40086518302087E-06,0,0,4.73170273191793E-02,0,0,0,0
34,5.59180818506162E-03,2.34929060727383E-02,8.26306670289888E-13,2.41086115640305E-38,6.51209881932343E-03,3.60137695060949E-06,0,0,3.56004144549003E-02,0,0,0,0
35,1.3726452430434E-03,2.28472091360676E-02,7.26236977901044E-12,1.53250466156048E-36,7.04188915374201E-03,5.04206074918653E-06,0,0,3.12667856008645E-02,0,0,0,0
36,2.92467853011416E-04,2.06113901905939E-02,5.59509117000865E-11,8.60604592613185E-35,7.57186076302136E-03,6.72295458762562E-06,0,0,2.84824418171652E-02,0,0,0,0
37,5.40739145151457E-05,1.85987623936908E-02,3.77857208434857E-10,4.26950734584225E-33,8.10202731586463E-03,8.78368429520791E-06,0,0,0.026763647686223,0,0,0,0
38,8.67293994278989E-06,1.83502996972772E-02,2.2368664208253E-09,1.87121685820495E-31,8.63240248594884E-03,1.13669675339921E-05,0,0,2.70027443275693E-02,0,0,0,0
39,1.2064785779292E-06,2.01993209460528E-02,1.16076505613522E-08,7.24507237853551E-30,9.16299995227403E-03,1.44728726133476E-05,0,0,2.93780118571687E-02,0,0,0,0
40,1.46193577222802E-07,2.31189484410039E-02,5.28008462685882E-08,2.47818421304433E-28,9.69383339951263E-03,1.81014817374179E-05,0,0,3.28310823166774E-02,0,0,0,0
41,2.17216862665665E-08,2.54469604469054E-02,2.10538032520068E-07,7.48853207377981E-27,1.02249165183589E-02,2.20128139898478E-05,0,0,3.56941220389729E-02,0,0,0,0
42,5.52671930422619E-08,2.60158851684896E-02,7.35894226878826E-07,1.99908864833899E-25,1.07562630058787E-02,2.62069730372205E-05,0,0,3.67991463088255E-02,0,0,0,0
43,3.92561542492155E-07,2.49439485728505E-02,2.2547603380819E-06,4.71454366609227E-24,0.011287886565859,3.06840701143424E-05,0,0,3.62651665307044E-02,0,0,0,0
44,2.51446856368663E-06,2.35498090358178E-02,6.05616689502514E-06,9.82244312197374E-23,1.18198009091581E-02,3.56192703986465E-05,0,0,3.54137998508333E-02,0,0,0,0
45,1.4173279494548E-05,2.34499882783346E-02,1.4260612828057E-05,1.80788846379915E-21,1.23520197540558E-02,4.11303589552854E-05,0,0,3.58715722836682E-02,0,0,0,0
46,7.02852551991464E-05,2.54656861228842E-02,2.94440271405449E-05,2.93965250215848E-20,1.28845568266034E-02,4.72174824212032E-05,0,0,3.84971897142485E-02,0,0,0,0
47,3.06638444142722E-04,2.90667425284102E-02,5.33291061046794E-05,4.2227231409433E-19,1.34174258609746E-02,5.40563747066535E-05,1.90911945034658E-09,0,4.28981942234583E-02,0,0,0,0
48,1.17694852351429E-03,3.26615616344444E-02,8.48232080945571E-05,5.35872503347472E-18,0.013950640599816,6.15076367897906E-05,5.72741037362685E-09,0,4.79354873300694E-02,0,0,0,0
49,3.97426500979293E-03,0.03446549148938,1.18806641781197E-04,6.00762189719593E-17,1.44842147945982E-02,6.94288044655724E-05,1.14549768163846E-08,0,5.31122181949948E-02,0,0,0,0
50,1.18065950236528E-02,3.33735699317046E-02,1.4753901678294E-04,5.94998632020471E-16,1.50181622059669E-02,7.78200895378166E-05,1.90919748518596E-08,0,6.04237053596205E-02,0,0,0,0
51,3.08575186033435E-02,2.93759854745231E-02,1.65139703680564E-04,5.20596936587151E-15,1.55524966040942E-02,8.66817165790228E-05,2.86386125840962E-08,0,7.60378507408382E-02,0,0,0,0
52,7.09521926576273E-02,2.34083682845494E-02,1.7275431721416E-04,4.02401446201463E-14,1.60872317690305E-02,9.60139229362257E-05,4.00951501534221E-08,0,0.110716601046548,0,0,0,0
53,0.143528825743989,1.68381578769479E-02,1.80227427558319E-04,2.74782950666721E-13,1.66223814910559E-02,1.05816958737183E-04,5.34618997432971E-08,0,0.177275462960463,0,0,0,0
54,0.255435309858425,1.08996518725452E-02,2.0161943328842E-04,1.65764852741247E-12,1.71675272893358E-02,1.16091086896902E-04,7.15284360327961E-08,0,0.283820271070585,0,0,0,0
55,0.399936664228616,6.32662385862534E-03,2.4618637353296E-04,8.83421076168745E-12,1.77226832402586E-02,1.26661536752975E-04,9.7120699654325E-08,0,0.424358916367319,0,0,0,0
56,0.55089648010031,3.28042349144602E-03,3.10395353333789E-04,4.15926113098862E-11,1.82878636960987E-02,1.37410938130774E-04,1.30239391205411E-07,0,0.572912703860303,0,0,0,0
57,0.667601438866723,1.51392004420316E-03,3.77085610213528E-04,1.72997122458872E-10,1.88630832853832E-02,1.48339579670182E-04,1.7088541857777E-07,0,0.688504038444609,0,0,0,0
58,0.711759085476143,6.19835274440779E-04,4.23984425703878E-04,6.35679856702036E-10,1.94483569132663E-02,1.59272183135425E-04,2.17150777530941E-07,0,0.732410752059147,0,0,0,0
59,0.667601438868934,2.24521846547413E-04,4.37301598222898E-04,2.06357840981934E-09,2.00436997619112E-02,1.70209042149249E-04,2.69036738599872E-07,0,0.688477442218082,0,0,0,0
60,0.550896480125513,7.18018446885422E-05,4.21475734683671E-04,5.91834973401039E-09,2.06491272908786E-02,1.81150450445208E-04,3.2654472767817E-07,0,0.572220367909286,0,0,0,0
61,0.399936664482445,2.02862103569878E-05,3.97641275448348E-04,1.49972142252552E-08,2.12646552375239E-02,1.92096701875336E-04,3.92095834569033E-07,0,0.421811751000698,0,0,0,0
62,0.255435312129232,5.30788186976338E-06,3.90934581782017E-04,3.35837364298531E-08,2.18902996174001E-02,2.0304809041782E-04,4.68627889325358E-07,0,0.277925404512328,0,0,0,0
63,0.143528843789899,2.41567152863929E-06,4.14804558813694E-04,6.64875804071435E-08,2.25260767246693E-02,2.14004910184674E-04,5.57152695693693E-07,0,0.166686769295372,0,0,0,0
64,7.09523200482423E-02,5.52147736233776E-06,4.62696864710171E-04,1.16488436367626E-07,2.31720031325214E-02,2.24967455429425E-04,6.59142126455866E-07,4.55377011089994E-12,9.48182846133823E-02,0,0,0,0
65,3.08583174366431E-02,1.89474801671129E-05,5.12349614529088E-04,1.81047672433774E-07,2.38185279752969E-02,2.35936020554791E-04,7.71809790449035E-07,1.36614385051768E-11,5.54450313983153E-02,0,0,0,0
